ID_Contrato,Proveedor,Nit,Objeto_Contrato,Vicepresidencia,Fecha_Inicio,Fecha_Fin,Valor_Contrato_USD,Estado_Contrato,Estado_HSE
CON-2026-051,Proteccion Perimetral Colombiana S.A.S.,900.325.599-3,Inspeccion de ductos,VCO - Corporativa,2026-05-13,2026-07-30,865492,En Liquidación,Aprobado
CON-2026-052,Logistica Petrolera Nacional S.A.S.,900.841.269-7,Seguridad perimetral,VRE - Refinación,2026-02-08,2026-07-28,226050,Activo,Aprobado
CON-2026-053,Mantenimiento Tecnico del Magdalena S.A.S.,900.286.151-4,Servicios de catering,VTS - Transporte,2025-08-05,2027-10-09,735445,Activo,Aprobado
CON-2026-054,Catering Energia Colombiana S.A.S.,900.870.951-6,Inspeccion de ductos,VRE - Refinación,2026-04-27,2026-07-20,1181243,Activo,En Alerta
CON-2026-055,Seguridad Industrial Llanos Ltda.,900.765.170-0,Mantenimiento de bombas,VUP - Upstream,2025-07-24,2026-07-21,1353035,Activo,No Aprobado
CON-2026-056,Transportes Oleoducto S.A.S.,900.677.323-7,Inspeccion de ductos,VTS - Transporte,2025-06-21,2026-10-26,393441,Activo,Aprobado
CON-2026-057,Catering Energia Colombiana S.A.S.,900.689.793-6,Servicios de catering,VUP - Upstream,2025-03-19,2027-03-06,263702,Suspendido,No Aprobado
CON-2026-058,Proteccion Perimetral Colombiana S.A.S.,900.924.223-9,Mantenimiento de bombas,VTS - Transporte,2026-06-30,2027-09-12,1437310,En Liquidación,Aprobado
CON-2026-059,Servicios Integrales de Refinacion S.A.S.,900.112.969-6,Apoyo logistico,VRE - Refinación,2026-03-20,2027-07-06,1382918,Activo,Aprobado
CON-2026-060,Ingenieria Andina de Petroleos S.A.S.,900.851.634-4,Ingenieria de campo,VCO - Corporativa,2026-04-22,2027-09-20,1292509,Suspendido,No Aprobado
CON-2026-061,Transportes Oleoducto S.A.S.,900.385.561-3,Apoyo logistico,VCO - Corporativa,2025-12-11,2026-07-30,1086635,Activo,En Alerta
CON-2026-062,Catering Energia Colombiana S.A.S.,900.448.386-9,Inspeccion de ductos,VRE - Refinación,2026-06-14,2027-01-12,229543,Suspendido,No Aprobado
CON-2026-063,Operaciones Industriales Orion S.A.S.,900.876.346-7,Apoyo logistico,VCO - Corporativa,2025-01-18,2026-10-04,667056,Activo,Aprobado
CON-2026-064,Catering Energia Colombiana S.A.S.,900.779.695-5,Apoyo logistico,VTS - Transporte,2026-03-12,2027-06-04,787800,Activo,Aprobado
CON-2026-065,Catering Energia Colombiana S.A.S.,900.336.223-3,Mantenimiento electrico,VRE - Refinación,2025-07-09,2027-01-13,503791,En Liquidación,Aprobado
CON-2026-066,Proteccion Perimetral Colombiana S.A.S.,900.878.637-9,Inspeccion de ductos,VRE - Refinación,2025-07-18,2027-04-30,527066,En Liquidación,Aprobado
CON-2026-067,Operaciones Industriales Orion S.A.S.,900.229.380-0,Mantenimiento de bombas,VTS - Transporte,2025-05-10,2027-11-15,265141,Activo,Aprobado
CON-2026-068,Mantenimiento Tecnico del Magdalena S.A.S.,900.448.288-0,Inspeccion de ductos,VCO - Corporativa,2025-04-27,2026-09-05,890344,Suspendido,Aprobado
CON-2026-069,PetroServicios del Caribe S.A.S.,900.255.252-9,Inspeccion de ductos,VRE - Refinación,2025-09-12,2026-10-30,1220363,Activo,Aprobado
CON-2026-070,Proteccion Perimetral Colombiana S.A.S.,900.331.894-8,Servicios de catering,VCO - Corporativa,2026-03-30,2027-05-01,1284226,En Liquidación,Aprobado
CON-2026-071,Proteccion Perimetral Colombiana S.A.S.,900.857.201-3,Transporte de personal,VTS - Transporte,2025-03-25,2026-12-08,553033,Suspendido,Aprobado
CON-2026-072,PetroServicios del Caribe S.A.S.,900.518.561-9,Apoyo logistico,VTS - Transporte,2025-02-03,2027-02-23,654199,Activo,Aprobado
CON-2026-073,Mantenimiento Tecnico del Magdalena S.A.S.,900.172.803-3,Inspeccion de ductos,VUP - Upstream,2026-03-12,2026-10-26,1192030,En Liquidación,En Alerta
CON-2026-074,Catering Energia Colombiana S.A.S.,900.946.245-1,Mantenimiento de bombas,VUP - Upstream,2025-11-11,2027-04-22,970971,Activo,Aprobado
CON-2026-075,Logistica Petrolera Nacional S.A.S.,900.378.612-8,Apoyo logistico,VCO - Corporativa,2025-03-24,2026-08-10,956029,Activo,Aprobado
CON-2026-076,PetroServicios del Caribe S.A.S.,900.193.334-9,Ingenieria de campo,VRE - Refinación,2025-10-03,2026-08-11,417401,En Liquidación,Aprobado
CON-2026-077,Catering Energia Colombiana S.A.S.,900.285.699-6,Apoyo logistico,VRE - Refinación,2026-04-27,2027-06-22,906368,Activo,Aprobado
CON-2026-078,Ingenieria Andina de Petroleos S.A.S.,900.437.521-7,Inspeccion de ductos,VCO - Corporativa,2025-02-07,2027-10-09,234674,Activo,Aprobado
CON-2026-079,Logistica Petrolera Nacional S.A.S.,900.985.626-0,Monitoreo HSE,VCO - Corporativa,2026-02-28,2026-08-25,443389,Activo,Aprobado
CON-2026-080,Mantenimiento Tecnico del Magdalena S.A.S.,900.740.552-0,Transporte de personal,VTS - Transporte,2025-05-15,2027-04-21,968796,Activo,Aprobado
CON-2026-081,Proteccion Perimetral Colombiana S.A.S.,900.918.345-2,Inspeccion de ductos,VRE - Refinación,2026-02-22,2026-10-04,521231,Suspendido,No Aprobado
CON-2026-082,Transportes Oleoducto S.A.S.,900.763.952-2,Apoyo logistico,VTS - Transporte,2026-06-06,2027-04-06,921346,Suspendido,No Aprobado
CON-2026-083,Seguridad Industrial Llanos Ltda.,900.567.664-2,Servicios de catering,VUP - Upstream,2026-06-05,2026-11-17,196402,En Liquidación,No Aprobado
CON-2026-084,Logistica Petrolera Nacional S.A.S.,900.448.906-8,Inspeccion de ductos,VRE - Refinación,2025-10-17,2027-05-02,1280897,Activo,En Alerta
CON-2026-085,Ingenieria Andina de Petroleos S.A.S.,900.557.651-7,Mantenimiento electrico,VTS - Transporte,2026-01-22,2027-10-10,724816,Activo,Aprobado
CON-2026-086,Logistica Petrolera Nacional S.A.S.,900.339.976-6,Mantenimiento de bombas,VTS - Transporte,2026-04-30,2027-07-26,859665,Suspendido,No Aprobado
CON-2026-087,Ingenieria Andina de Petroleos S.A.S.,900.607.137-2,Monitoreo HSE,VTS - Transporte,2025-04-13,2027-09-24,259110,Suspendido,En Alerta
CON-2026-088,Ingenieria Andina de Petroleos S.A.S.,900.519.991-2,Suministro de alimentacion,VCO - Corporativa,2025-09-29,2027-06-12,1357069,Activo,Aprobado
CON-2026-089,Servicios Integrales de Refinacion S.A.S.,900.972.790-8,Servicios de catering,VTS - Transporte,2026-05-15,2026-08-06,1344906,En Liquidación,Aprobado
CON-2026-090,Catering Energia Colombiana S.A.S.,900.332.864-1,Servicios de catering,VRE - Refinación,2025-04-13,2027-09-28,398892,Activo,Aprobado
CON-2026-091,PetroServicios del Caribe S.A.S.,900.432.915-0,Inspeccion de ductos,VTS - Transporte,2026-01-19,2027-09-15,355281,En Liquidación,No Aprobado
CON-2026-092,Ingenieria Andina de Petroleos S.A.S.,900.274.279-1,Ingenieria de campo,VCO - Corporativa,2025-09-04,2027-11-22,1272969,Activo,Aprobado
CON-2026-093,Catering Energia Colombiana S.A.S.,900.570.361-0,Apoyo logistico,VTS - Transporte,2025-06-11,2026-09-14,976374,Activo,Aprobado
CON-2026-094,Logistica Petrolera Nacional S.A.S.,900.806.356-7,Inspeccion de ductos,VUP - Upstream,2026-01-29,2027-11-07,273668,Suspendido,No Aprobado
CON-2026-095,Proteccion Perimetral Colombiana S.A.S.,900.402.816-4,Mantenimiento de bombas,VCO - Corporativa,2025-10-09,2026-07-09,1236839,Activo,Aprobado
CON-2026-096,Proteccion Perimetral Colombiana S.A.S.,900.863.608-4,Transporte de personal,VTS - Transporte,2025-08-13,2027-01-11,1352103,Suspendido,En Alerta
CON-2026-097,Ingenieria Andina de Petroleos S.A.S.,900.743.199-0,Inspeccion de ductos,VCO - Corporativa,2025-02-04,2027-07-09,325590,Activo,En Alerta
CON-2026-098,Logistica Petrolera Nacional S.A.S.,900.279.305-2,Monitoreo HSE,VTS - Transporte,2026-06-28,2027-11-26,621531,Activo,Aprobado
CON-2026-099,Mantenimiento Tecnico del Magdalena S.A.S.,900.925.402-5,Suministro de alimentacion,VCO - Corporativa,2025-03-19,2026-11-22,523148,En Liquidación,Aprobado
CON-2026-100,Operaciones Industriales Orion S.A.S.,900.474.192-6,Mantenimiento de bombas,VTS - Transporte,2025-05-07,2027-10-09,822980,Suspendido,En Alerta
CON-2026-101,Proteccion Perimetral Colombiana S.A.S.,900.490.942-5,Suministro de alimentacion,VUP - Upstream,2026-04-28,2026-07-26,1349283,En Liquidación,Aprobado
CON-2026-102,Seguridad Industrial Llanos Ltda.,900.763.164-7,Inspeccion de ductos,VCO - Corporativa,2025-04-30,2026-11-21,145099,Suspendido,Aprobado
CON-2026-103,Transportes Oleoducto S.A.S.,900.340.650-2,Servicios de catering,VCO - Corporativa,2026-01-15,2027-09-03,1281741,Suspendido,Aprobado
CON-2026-104,Logistica Petrolera Nacional S.A.S.,900.770.201-7,Ingenieria de campo,VCO - Corporativa,2025-10-14,2026-08-03,1497623,En Liquidación,Aprobado
CON-2026-105,Seguridad Industrial Llanos Ltda.,900.975.471-1,Mantenimiento electrico,VTS - Transporte,2025-03-04,2027-08-12,628565,Activo,Aprobado
CON-2026-106,Mantenimiento Tecnico del Magdalena S.A.S.,900.193.778-3,Ingenieria de campo,VRE - Refinación,2025-02-21,2027-06-07,560800,Activo,Aprobado
CON-2026-107,Operaciones Industriales Orion S.A.S.,900.312.700-3,Transporte de personal,VTS - Transporte,2025-06-01,2026-07-03,631487,Suspendido,No Aprobado
CON-2026-108,Catering Energia Colombiana S.A.S.,900.917.278-1,Mantenimiento de bombas,VUP - Upstream,2025-01-16,2027-07-02,548978,Suspendido,No Aprobado
CON-2026-109,Catering Energia Colombiana S.A.S.,900.153.229-6,Monitoreo HSE,VRE - Refinación,2025-03-07,2027-10-31,990101,Activo,Aprobado
CON-2026-110,Transportes Oleoducto S.A.S.,900.562.615-3,Ingenieria de campo,VRE - Refinación,2026-06-18,2027-05-05,1010584,En Liquidación,Aprobado
CON-2026-111,Mantenimiento Tecnico del Magdalena S.A.S.,900.967.511-6,Suministro de alimentacion,VCO - Corporativa,2026-03-31,2026-09-14,219429,Activo,Aprobado
CON-2026-112,Ingenieria Andina de Petroleos S.A.S.,900.381.739-9,Monitoreo HSE,VTS - Transporte,2026-01-26,2027-12-26,668445,Activo,Aprobado
CON-2026-113,Transportes Oleoducto S.A.S.,900.912.818-1,Monitoreo HSE,VUP - Upstream,2026-03-17,2027-10-06,529185,Activo,Aprobado
CON-2026-114,Logistica Petrolera Nacional S.A.S.,900.525.847-1,Mantenimiento electrico,VCO - Corporativa,2025-11-17,2027-03-19,834966,Activo,En Alerta
CON-2026-115,Transportes Oleoducto S.A.S.,900.951.187-1,Servicios de catering,VRE - Refinación,2026-01-17,2026-11-11,1216794,Suspendido,Aprobado
CON-2026-116,Operaciones Industriales Orion S.A.S.,900.437.786-1,Servicios de catering,VTS - Transporte,2026-03-10,2026-08-22,653202,Activo,No Aprobado
CON-2026-117,Proteccion Perimetral Colombiana S.A.S.,900.619.317-2,Apoyo logistico,VUP - Upstream,2025-04-21,2027-06-24,1216573,Activo,Aprobado
CON-2026-118,Proteccion Perimetral Colombiana S.A.S.,900.331.926-6,Monitoreo HSE,VRE - Refinación,2025-10-01,2026-07-30,428359,Activo,En Alerta
CON-2026-119,Servicios Integrales de Refinacion S.A.S.,900.459.106-2,Seguridad perimetral,VCO - Corporativa,2025-03-13,2026-11-23,1377857,Activo,En Alerta
CON-2026-120,Logistica Petrolera Nacional S.A.S.,900.529.564-5,Seguridad perimetral,VTS - Transporte,2025-11-16,2027-05-29,1240329,Suspendido,Aprobado
CON-2026-121,Ingenieria Andina de Petroleos S.A.S.,900.261.872-9,Mantenimiento de bombas,VRE - Refinación,2025-10-06,2027-09-27,1438186,Activo,En Alerta
CON-2026-122,Logistica Petrolera Nacional S.A.S.,900.379.320-8,Suministro de alimentacion,VTS - Transporte,2026-03-17,2026-10-22,644010,Activo,Aprobado
CON-2026-123,Operaciones Industriales Orion S.A.S.,900.783.415-0,Transporte de personal,VCO - Corporativa,2025-02-26,2026-07-08,478706,En Liquidación,Aprobado
CON-2026-124,Ingenieria Andina de Petroleos S.A.S.,900.882.361-4,Mantenimiento electrico,VRE - Refinación,2025-01-08,2027-11-22,953149,Activo,Aprobado
CON-2026-125,Seguridad Industrial Llanos Ltda.,900.612.672-5,Suministro de alimentacion,VCO - Corporativa,2025-02-13,2027-09-20,89303,Activo,Aprobado
CON-2026-126,Servicios Integrales de Refinacion S.A.S.,900.689.539-9,Servicios de catering,VCO - Corporativa,2025-10-24,2026-10-26,899414,Activo,Aprobado
CON-2026-127,Proteccion Perimetral Colombiana S.A.S.,900.571.951-5,Suministro de alimentacion,VCO - Corporativa,2025-04-19,2027-03-07,963679,Activo,Aprobado
CON-2026-128,Logistica Petrolera Nacional S.A.S.,900.991.417-5,Transporte de personal,VTS - Transporte,2025-06-22,2026-09-17,1120561,Activo,Aprobado
CON-2026-129,Seguridad Industrial Llanos Ltda.,900.894.457-5,Seguridad perimetral,VUP - Upstream,2025-04-16,2026-11-27,586804,Activo,Aprobado
CON-2026-130,Transportes Oleoducto S.A.S.,900.281.891-7,Apoyo logistico,VCO - Corporativa,2025-11-27,2027-05-20,366580,Activo,Aprobado
CON-2026-131,Catering Energia Colombiana S.A.S.,900.915.381-9,Mantenimiento de bombas,VTS - Transporte,2026-06-04,2026-09-14,700972,Activo,Aprobado
CON-2026-132,Servicios Integrales de Refinacion S.A.S.,900.951.393-1,Suministro de alimentacion,VCO - Corporativa,2026-04-19,2026-08-12,993159,Activo,Aprobado
CON-2026-133,Proteccion Perimetral Colombiana S.A.S.,900.587.613-2,Mantenimiento de bombas,VCO - Corporativa,2025-04-16,2027-06-17,226851,Suspendido,No Aprobado
CON-2026-134,Seguridad Industrial Llanos Ltda.,900.824.548-7,Monitoreo HSE,VUP - Upstream,2026-01-08,2027-07-17,643270,Activo,Aprobado
CON-2026-135,Proteccion Perimetral Colombiana S.A.S.,900.153.908-5,Suministro de alimentacion,VTS - Transporte,2025-04-07,2027-07-31,645899,Activo,En Alerta
CON-2026-136,Proteccion Perimetral Colombiana S.A.S.,900.994.253-5,Suministro de alimentacion,VUP - Upstream,2025-12-25,2027-05-14,1425846,Activo,En Alerta
CON-2026-137,Proteccion Perimetral Colombiana S.A.S.,900.825.186-4,Monitoreo HSE,VCO - Corporativa,2025-12-03,2026-11-08,1455335,En Liquidación,Aprobado
CON-2026-138,Operaciones Industriales Orion S.A.S.,900.195.761-6,Monitoreo HSE,VTS - Transporte,2025-01-19,2027-07-07,697739,En Liquidación,No Aprobado
CON-2026-139,Mantenimiento Tecnico del Magdalena S.A.S.,900.296.331-2,Seguridad perimetral,VRE - Refinación,2025-10-30,2026-10-12,1114702,Activo,Aprobado
CON-2026-140,Operaciones Industriales Orion S.A.S.,900.138.777-5,Ingenieria de campo,VUP - Upstream,2026-01-21,2026-12-05,390257,En Liquidación,En Alerta
CON-2026-141,Proteccion Perimetral Colombiana S.A.S.,900.928.269-7,Mantenimiento de bombas,VCO - Corporativa,2026-01-09,2027-03-01,981552,Activo,Aprobado
CON-2026-142,Mantenimiento Tecnico del Magdalena S.A.S.,900.339.646-3,Inspeccion de ductos,VCO - Corporativa,2025-07-18,2027-07-12,1472512,Activo,En Alerta
CON-2026-143,Catering Energia Colombiana S.A.S.,900.896.491-8,Monitoreo HSE,VCO - Corporativa,2025-06-15,2027-01-21,1318071,Suspendido,No Aprobado
CON-2026-144,Mantenimiento Tecnico del Magdalena S.A.S.,900.995.480-8,Suministro de alimentacion,VRE - Refinación,2025-10-19,2026-09-24,386199,Activo,Aprobado
CON-2026-145,Ingenieria Andina de Petroleos S.A.S.,900.950.547-1,Transporte de personal,VCO - Corporativa,2025-12-24,2026-07-28,920101,Activo,No Aprobado
CON-2026-146,Seguridad Industrial Llanos Ltda.,900.495.183-5,Transporte de personal,VRE - Refinación,2025-11-23,2026-10-10,1413066,Activo,Aprobado
CON-2026-147,PetroServicios del Caribe S.A.S.,900.393.949-7,Seguridad perimetral,VCO - Corporativa,2026-04-05,2026-07-06,216148,Activo,Aprobado
CON-2026-148,Ingenieria Andina de Petroleos S.A.S.,900.661.844-9,Monitoreo HSE,VCO - Corporativa,2025-04-24,2027-04-22,548367,Activo,Aprobado
CON-2026-149,Logistica Petrolera Nacional S.A.S.,900.754.912-9,Apoyo logistico,VRE - Refinación,2025-04-24,2027-11-24,1301452,Activo,Aprobado
CON-2026-150,Proteccion Perimetral Colombiana S.A.S.,900.347.835-2,Inspeccion de ductos,VCO - Corporativa,2025-01-02,2027-06-27,554499,Activo,Aprobado
CON-2026-151,Transportes Oleoducto S.A.S.,900.636.469-1,Monitoreo HSE,VRE - Refinación,2026-02-04,2027-10-25,141298,Activo,Aprobado
CON-2026-152,Catering Energia Colombiana S.A.S.,900.865.116-5,Suministro de alimentacion,VTS - Transporte,2025-09-04,2026-10-15,1270339,Activo,No Aprobado
CON-2026-153,PetroServicios del Caribe S.A.S.,900.460.659-5,Seguridad perimetral,VCO - Corporativa,2026-05-06,2027-01-03,332806,En Liquidación,Aprobado
CON-2026-154,Mantenimiento Tecnico del Magdalena S.A.S.,900.137.400-3,Mantenimiento de bombas,VUP - Upstream,2025-02-12,2027-05-20,700276,Activo,En Alerta
CON-2026-155,Operaciones Industriales Orion S.A.S.,900.584.359-0,Transporte de personal,VTS - Transporte,2026-01-01,2026-08-18,1425168,Activo,No Aprobado
CON-2026-156,Servicios Integrales de Refinacion S.A.S.,900.547.509-7,Servicios de catering,VTS - Transporte,2025-07-11,2027-11-21,1093382,Activo,Aprobado
CON-2026-157,Catering Energia Colombiana S.A.S.,900.920.184-6,Suministro de alimentacion,VCO - Corporativa,2025-07-04,2027-04-27,723629,Activo,En Alerta
CON-2026-158,Catering Energia Colombiana S.A.S.,900.413.556-9,Servicios de catering,VUP - Upstream,2026-03-31,2027-06-25,987698,Activo,Aprobado
CON-2026-159,Servicios Integrales de Refinacion S.A.S.,900.729.545-4,Mantenimiento de bombas,VRE - Refinación,2026-02-20,2027-07-08,1126019,Activo,En Alerta
CON-2026-160,PetroServicios del Caribe S.A.S.,900.246.969-9,Apoyo logistico,VRE - Refinación,2025-05-10,2026-09-07,544918,En Liquidación,Aprobado
CON-2026-161,Logistica Petrolera Nacional S.A.S.,900.680.133-9,Seguridad perimetral,VCO - Corporativa,2026-01-15,2027-07-16,981008,En Liquidación,Aprobado
CON-2026-162,Operaciones Industriales Orion S.A.S.,900.475.507-5,Inspeccion de ductos,VUP - Upstream,2025-04-27,2026-07-27,440171,En Liquidación,Aprobado
CON-2026-163,Operaciones Industriales Orion S.A.S.,900.220.368-4,Apoyo logistico,VUP - Upstream,2025-10-20,2027-11-15,469804,Activo,Aprobado
CON-2026-164,Mantenimiento Tecnico del Magdalena S.A.S.,900.276.830-7,Suministro de alimentacion,VTS - Transporte,2025-12-22,2026-09-05,1203427,Activo,En Alerta
